slug,language,primary_keyword,h1,subtitle,occasion,tier_default,audio_sample,recipient,intent_phrase,meta_description
engagement-gift-song,en,engagement gift song,An Engagement Gift Song For The Couple,Beats another picture frame. A song from their love story — delivered to their inbox in 2 hours.,engagement,personal,those-hands,couple,for engagement,Personalized engagement gift song from the couple's love story. From €19. Ready in 2 hours.
song-for-husband,en,personalized song for husband,A Song For Your Husband From Your Marriage Story,The way he makes coffee wrong. The dishwasher fight. Our daughter's first word. Sent to him as a song.,anniversary,personal,those-hands,husband,for him,Personalized song for husband from your marriage story. Original 3-min song. From €19. Ready in 2h.
song-for-wife,en,personalized song for wife,A Song For Your Wife From Your Marriage Story,The specifics that only you know. We write the lyrics. You watch her press play.,anniversary,personal,those-hands,wife,for her,Personalized song for wife from your story. Original composition. From €19. Ready in 2 hours.
50th-birthday-song,en,50th birthday song gift,A 50th Birthday Song Gift From Your Story,Half a century. The version of them their kids see. The version their friends know. Written into a song.,birthday,personal,muddy-paws,recipient,for their 50th,Custom 50th birthday song from your story. Original 3-min song. From €19. Ready in 2 hours.
60th-birthday-song,en,60th birthday song gift,A 60th Birthday Song From Their Story,From their work, their quirks, the version of them only you've seen. We write the song.,birthday,personal,muddy-paws,recipient,for their 60th,Personalized 60th birthday song from your story. Original 3-min composition. From €19.
70th-birthday-song,en,70th birthday song gift,A 70th Birthday Song From Their Life,At 70 they've heard every birthday song. Give them one from their life. From their story. Real production.,birthday,personal,little-blue-steps,recipient,for their 70th,Custom 70th birthday song from your story. Original 3-min song. From €19. Ready in 2 hours.
80th-birthday-song,en,80th birthday song gift,An 80th Birthday Song That Captures Their Life,80 years of stories. Give them one song that holds it. We write from your brief about them.,birthday,personal,little-blue-steps,recipient,for their 80th,Personalized 80th birthday song from their life story. Original composition. From €19.
90th-birthday-song,en,90th birthday song gift,A 90th Birthday Song Their Grandkids Will Sing,90 years deserves more than a card. A song from your family's story about them. The grandkids will learn the chorus.,birthday,personal,little-blue-steps,recipient,for their 90th,Custom 90th birthday song from your story. Original composition. From €19. Ready in 2h.
25th-anniversary-song,en,25th wedding anniversary song,A 25th Wedding Anniversary Song From Your Marriage,Silver year. 25 years of a marriage that's worth a song. We write it from your story.,anniversary,premium,those-hands,couple,for 25th anniversary,Personalized 25th anniversary song from your marriage story. Original 3-min song. From €19.
50th-anniversary-song,en,50th wedding anniversary song,A 50th Wedding Anniversary Song From Half A Century,50 years. A song from your kids' perspective on the marriage they grew up watching.,anniversary,premium,those-hands,parents,for their 50th anniversary,Custom 50th wedding anniversary song from your story. Original 3-min composition. From €19.
funeral-song,en,custom funeral song,A Custom Song For The Funeral Service,From a letter you write about them — we produce a respectful tribute song. Real human care.,memorial,personal,little-blue-steps,deceased,for the funeral,Custom funeral tribute song written from your letter. Respectful original composition. From €19.
celebration-of-life-song,en,celebration of life song,A Song For Their Celebration of Life,For the service where their life is celebrated — a song written from what you'd want a stranger to know about them.,memorial,personal,little-blue-steps,deceased,for celebration of life,Custom celebration of life song from your story. Respectful composition. From €19.
song-for-grandma,en,custom song for grandma,A Song For Your Grandma From Your Family's Story,Her hands. Her recipes. The way she still asks if you've eaten. Written into a song.,birthday,personal,little-blue-steps,grandma,for grandma,Personalized song for grandma from your family's story. Original 3-min song. From €19.
song-for-grandpa,en,custom song for grandpa,A Song For Your Grandpa From Your Family's Story,His work. His stories. The way he taught you to whistle. Written into a song he can play in the car.,birthday,personal,muddy-paws,grandpa,for grandpa,Custom song for grandpa from your family story. Original composition. From €19.
song-for-girlfriend,en,personalized song for girlfriend,A Song For Your Girlfriend From Your Story,Beats roses. Beats jewellery. From a 5-line text about you two — we write a song she'll play on repeat.,anniversary,personal,those-hands,girlfriend,for her,Personalized song for girlfriend from your story. Original 3-min song. From €19. Ready in 2 hours.
song-for-boyfriend,en,personalized song for boyfriend,A Song For Your Boyfriend From Your Story,Tell us about him — the way he laughs, the inside jokes. We write a song he'll quietly play in the car.,anniversary,personal,those-hands,boyfriend,for him,Custom song for boyfriend from your story. Original 3-min song. From €19. Ready in 2h.
sympathy-gift-song,en,sympathy gift song,A Sympathy Gift Song From Your Heart,For a friend who lost someone. A tribute song delivered privately — they listen when ready. No performance required.,memorial,personal,little-blue-steps,friend,as a sympathy gift,Custom sympathy gift song. Tribute composition delivered privately. From €19. Real human care.
new-baby-gift-song,en,new baby gift song,A Song For The New Mom (Not The Baby),A song about the woman becoming a mother — the version of her her baby will know. From €19.,new-baby,personal,those-hands,new mom,for the new mom,Personalized song for new mom from your story. Original composition. From €19. Ready in 2 hours.
retirement-gift-song,en,retirement gift song,A Retirement Gift Song From The Team,40 years of work captured in a song. Group-pay friendly. From the team or family. From €19.,retirement,personal,muddy-paws,retiree,for retirement,Custom retirement gift song from their career story. Original 3-min composition. From €19.
goodbye-coworker-song,en,goodbye coworker gift song,A Goodbye Song For The Coworker Who's Leaving,15 years of inside jokes captured. A song from the whole team. From €19. Group-pay friendly.,farewell,personal,muddy-paws,coworker,as a farewell,Personalized farewell song for coworker leaving. From €19. Original composition. Group-pay friendly.
song-from-our-story,en,song from our story,A Song Written From Your Story,Whatever the occasion — birthday, anniversary, just because. A song from a few lines about you and them.,general,personal,unbreakable-rooms,recipient,for any occasion,Custom song written from your story. Original 3-min composition. From €19. Ready in 2 hours.
custom-song-from-lyrics,en,custom song from lyrics,A Custom Song From Your Lyrics or Story,Whether you write the lyrics yourself or tell us the story, we produce an original song.,general,personal,unbreakable-rooms,recipient,from your lyrics,Custom song from your lyrics or story. Original 3-min song. From €19. Ready in 2 hours.
song-from-letter,en,song from a letter,A Song Written From Your Letter,Write us a letter — to whoever, about whoever. We turn it into an original song.,memorial,personal,little-blue-steps,recipient,from your letter,Custom song written from your letter. Original 3-min composition. From €19. Ready in 2 hours.
sentimental-gift-idea,en,sentimental gift idea,A Sentimental Gift Idea That Beats All The Others,A custom song from someone's story — the gift they'll keep on their phone forever.,general,personal,unbreakable-rooms,loved one,for any occasion,Sentimental gift idea: a custom song from their story. From €19. Ready in 2 hours. EU & UK.
unique-wedding-gift,en,unique wedding gift,A Unique Wedding Gift The Couple Will Replay Forever,Beyond the picture frame and the cookbook — a custom song from their love story.,wedding,premium,golden-hour-rewrite,couple,as a wedding gift,Unique wedding gift: custom song from couple's love story. From €19. Ready 7 days before.
canzone-personalizzata,it,canzone personalizzata,Una Canzone Personalizzata Dalle Tue Parole,Mandaci qualche riga sulla persona che ami. Componiamo una canzone vera. Pronta in 2 ore.,general,personal,unbreakable-rooms,destinatario,da regalare,Canzone personalizzata scritta dalla tua storia. Originale di 3 minuti. Da €19. Pronta in 2 ore.
canzone-matrimonio,it,canzone matrimonio personalizzata,Una Canzone Per Il Vostro Matrimonio,Niente playlist Spotify. Una canzone scritta dalla vostra storia d'amore — pronta 7 giorni prima del grande giorno.,wedding,premium,golden-hour-rewrite,coppia,per il primo ballo,Canzone matrimonio personalizzata scritta dalla vostra storia d'amore. Originale di 3 minuti. Da €19.
canzone-anniversario,it,canzone anniversario personalizzata,Una Canzone Per Il Vostro Anniversario,Da qualche riga sui vostri anni insieme — le liti per ridere, i tic — scriviamo una canzone che ascolterete ogni anno.,anniversary,personal,those-hands,partner,per anniversario,Canzone anniversario personalizzata dalla vostra storia d'amore. Originale di 3 minuti. Da €19.
canzone-compleanno-mamma,it,canzone compleanno mamma,Una Canzone Per Il Compleanno Della Mamma,Niente fiori. Niente sciarpe. Una canzone dalla sua storia — scritta dalle tue parole.,birthday,personal,golden-hour-rewrite,mamma,per il compleanno,Canzone personalizzata compleanno mamma dalla sua storia. Originale di 3 minuti. Da €19. Pronta in 2 ore.
canzone-compleanno-papa,it,canzone compleanno papà,Una Canzone Per Il Compleanno di Papà,Dalla sua vita, dal suo lavoro, dai suoi modi. Scriviamo la canzone. Lui la riascolta in macchina.,birthday,personal,muddy-paws,papà,per il compleanno,Canzone personalizzata compleanno papà dalla sua storia. Originale di 3 minuti. Da €19.
canzone-memoriale,it,canzone memoriale personalizzata,Una Canzone Per Quando Le Parole Non Bastano,Scrivici una lettera su di lui/lei. Componiamo una canzone tributo rispettosa per il servizio funebre o da custodire.,memorial,personal,little-blue-steps,defunto,per il funerale,Canzone memoriale personalizzata dalla tua lettera. Composizione originale rispettosa. Da €19.
regalo-compleanno-originale,it,regalo compleanno originale,Un Regalo Compleanno Originale Che Resta Per Anni,Una canzone scritta dalla loro storia — il regalo che ascolteranno per anni sul telefono.,birthday,personal,unbreakable-rooms,destinatario,come regalo originale,Regalo compleanno originale: una canzone personalizzata dalla loro storia. Da €19. Pronta in 2 ore.
regalo-anniversario-originale,it,regalo anniversario originale,Un Regalo Anniversario Che Lo/La Farà Piangere,Una canzone dalla vostra storia d'amore — pronta in 2 ore. Da €19. Riscrittura gratuita.,anniversary,personal,those-hands,partner,come regalo anniversario,Regalo anniversario originale: canzone personalizzata dalla vostra storia. Originale di 3 minuti. Da €19.
canzone-festa-mamma,it,canzone festa della mamma,Una Canzone Per La Festa Della Mamma,Niente fiori. Una canzone dalla storia di lei — pronta in 2 ore. Da €19.,mothers-day,personal,golden-hour-rewrite,mamma,per la Festa della Mamma,Canzone festa della mamma personalizzata dalla sua storia. Originale di 3 minuti. Da €19.
canzone-festa-papa,it,canzone festa del papà,Una Canzone Per La Festa Del Papà,Per il papà che ha tutto. Una canzone dalla sua vita. Da €19. Pronta in 2 ore.,fathers-day,personal,muddy-paws,papà,per la Festa del Papà,Canzone festa del papà personalizzata dalla sua storia. Originale di 3 minuti. Da €19.
canzone-primo-ballo,it,canzone primo ballo matrimonio,Una Canzone Per Il Primo Ballo Del Vostro Matrimonio,Una canzone scritta dalla vostra storia d'amore — pronta 7 giorni prima del matrimonio.,wedding,premium,golden-hour-rewrite,coppia,per il primo ballo,Canzone primo ballo matrimonio personalizzata. Composizione originale di 3 minuti. Da €19.
canzone-25-anni-matrimonio,it,canzone 25 anni matrimonio,Una Canzone Per Le Nozze d'Argento,25 anni di matrimonio meritano più di un anello. Una canzone scritta dalla vostra storia.,anniversary,premium,those-hands,coppia,per nozze d'argento,Canzone 25 anni matrimonio (nozze d'argento) personalizzata. Originale di 3 minuti. Da €19.
canzone-50-anni-matrimonio,it,canzone 50 anni matrimonio,Una Canzone Per Le Nozze d'Oro,50 anni. Una canzone scritta dalla prospettiva dei figli sulla storia dei genitori.,anniversary,premium,those-hands,genitori,per nozze d'oro,Canzone 50 anni matrimonio (nozze d'oro) personalizzata dai figli. Originale di 3 minuti. Da €19.
canzone-per-marito,it,canzone per marito,Una Canzone Per Tuo Marito Dalla Vostra Storia,Il modo in cui prepara il caffè sbagliato. La lite per la lavastoviglie. Le manie che ami. In una canzone.,anniversary,personal,those-hands,marito,per lui,Canzone personalizzata per marito dalla vostra storia. Originale di 3 minuti. Da €19. Pronta in 2 ore.
canzone-per-moglie,it,canzone per moglie,Una Canzone Per Tua Moglie Dalla Vostra Storia,Le cose specifiche che solo voi sapete. Scriviamo i testi. Tu la guardi premere play.,anniversary,personal,those-hands,moglie,per lei,Canzone personalizzata per moglie dalla vostra storia. Originale di 3 minuti. Da €19.
